texto,reduzido,ordinal,hebraico,quadrado_reduzido,quadrado_ordinal,trigonal,criacao,quantidade_letras,
E Multiplicarei Na Terra Do Egito Os Meus Sinais E As Minhas Maravilhas,265,661,3451,1709,10025,5343,39058,59,
E Murmurastes Em Vossas Tendas,88,349,2437,438,6027,3188,9100,26,
E Na Segunda Vez José Foi Conhecido Pelos Seus Irmãos,199,505,3250,1171,7759,4132,22264,44,
E Não A Imagem Exata Das Coisas,90,225,1404,490,3361,1793,5650,25,
E Não Aceitais O Nosso Testemunho,114,339,1842,634,5305,2822,9520,28,
E Não Agradar A Nós Mesmos,83,218,866,475,3256,1737,4599,21,
E Não Concedas Aos Ineptos Vossas Riquezas,146,443,3143,850,7411,3927,15984,36,
E Não Enfraqueceu Na Fé,87,177,1023,483,2517,1347,3382,19,
E Não Escutei ,45,117,738,241,1789,953,1298,11,
E Não Fazemos Distinção Entre Nenhum Deles,162,396,2511,920,5942,3169,14292,36,
E Não Forniquemos Como Alguns Deles Fornicaram E Cairam Num Dia Vinte E Tres Mil,310,733,3757,1886,10805,5769,48444,66,
E Não Mais Sera Destruida Nenhuma Criatura Nas Aguas Do Diluvio,222,582,3759,1348,9232,4907,30899,53,
E Não Necessitava De Que Alguém Testificasse Do Homem,184,472,2722,1002,7050,3761,21285,45,
E Não Nos Induza A Tentação,85,238,2011,451,3898,2068,5258,22,
E Não O Perceberam Até Que Veio O Diluvio,165,363,2424,1009,5527,2945,12012,33,
E Não Podia Fazer Ali Obras Maravilhosas,153,351,2295,999,5445,2898,11968,34,
E Não Queres Vir A Mim Para Terdes Vida,150,348,2265,982,5536,2942,10819,31,
E Não Se Lhes Ordenou Senão Adorarem Um Único Deus,181,469,2611,1021,7177,3823,19270,41,
E Não Sejam Inscritos Com Os Justos,108,378,1926,600,6018,3198,10991,29,
E Não Te Aproximes Da Porta Da Tua Casa,119,326,2333,673,5344,2835,10137,31,
E Não Tentemos A Cristo Como Alguns Deles Tentaram E Pereceram Pelas Serpentes,274,751,3766,1518,11499,6125,49632,66,
E Não Tropeçara O Seu Pé,87,213,1176,519,3345,1779,4066,19,
E Naõ Vos Disse Que Sata Era Inimigo Declarado,169,394,2059,1039,5872,3133,15010,38,
E Nenhum Deles Foi Purificado,131,257,1229,817,3499,1878,6450,25,
E Nessa Cobiça Alguns Se Desviaram Da Fé,122,302,1598,654,4416,2359,9999,33,
E Ninguem Toma Para Si Está Honra Senão O Que É Chamado Por Deus,229,562,2965,1371,8544,4553,28713,51,
E No Inferno Ergueu Os Olhos Estando Em Tormentos,197,530,2780,1153,8182,4356,21771,41,
"E No Inferno Ergueu Os Olhos Estando Em Tormentos, E Viu Ao Longe Abraão E Lazaro No Seu Seio",345,894,5538,2045,13970,7432,67125,75,
E Nos Predestinou Para Filhos De Adoção,154,352,1621,938,5168,2760,11649,33,
E Nos Ultimos Dias Acontecerá Diz Deus Que Do Meu Espirito Derramarei Sobre Toda Carne,335,812,5051,2081,12728,6770,58536,72,
E Novas Coisas Vos Anuncio,86,275,1922,472,4549,2412,6072,22,
E Nu Voltarei,52,142,1150,312,2346,1244,1573,11,
E O Anjo Meteu A Sua Foice A Terra,105,267,1608,595,4087,2177,6968,26,
E O Aspecto Da Gloria Do Senhor Era Como Um Fogo Consumidor,236,542,2531,1440,7974,4258,26064,48,
E O Aspecto Da Gloria Do Senhor Era Como Um Fogo Consumidor No Cume Do Monte Aos Olhos Dos Filhos De Israel,407,983,4448,2421,14391,7687,84624,86,
E O Condenarao A Morte,83,182,785,479,2612,1397,3294,18,
E O Diabo Que Os Enganava Foi Lançado No Lago De Fogo E Enxofre,238,481,2596,1370,6653,3567,24100,50,
E O Diabo Que Os Enganava Foi Lançado No Lago De Fogo E Enxofre Onde Está A Besta E O Falso Profeta,343,766,4024,1915,10978,5872,59826,78,
E O Enchi Do Espirito De Deus,121,247,1165,767,3503,1875,5704,23,
É O Espirito Da Profecia,110,209,857,754,2977,1593,4200,20,
E O Espirito Do Eterno Repousou Sobre David,186,456,2742,1190,7274,3865,16452,36,
E O Espirito É O Que Testifica,124,286,1591,820,4402,2344,6888,24,
E O Espirito Santo Estava Sobre Ele,124,349,2023,740,5591,2970,10150,29,
E O Eterno Deus Chamou Ao Homem E Lhe Disse Onde Estás,186,465,2301,1018,6787,3626,20038,43,
E O Eterno Deus Plantou Um Jardim No Edén No Oriente,200,506,2792,1152,7632,4069,21294,42,
E O Eterno Disse A Caim,81,180,747,489,2550,1365,3258,18,
E O Eterno Disse A Caim Porque Te Irastes E Porque Descaiu O Teu Semblante,267,699,4092,1591,11023,5861,42000,60,
E O Eterno Se Arrependeu De De Ter Feito O Homem Na Terra,229,490,2443,1405,7210,3850,22095,45,
E O Homem E Sua Mulher Se Esconderam Da Presença De Deus,192,462,2307,1044,6732,3597,20835,45,
E O Lugar Da Escritura Que Lia Era Este Foi Levado Como Ovelha Ao Matadouro,271,658,4186,1611,10170,5414,40199,61,
E O Maligno Não Lhe Toca,86,185,680,488,2405,1295,3534,19,
E O Meu Sangue É Verdadeiramente Bebida,145,298,1810,815,4226,2262,9867,33,
E O Numero Dos Seus Anos Não Podemos Esquadrinhar,185,509,2678,1095,8025,4267,20910,41,
E O Ouvir Pela Palavra De Deus,106,268,2041,618,4326,2297,6456,24,
E O Pai Que Me Enviou Ele Mesmo Testificou De Mim,190,451,2674,1116,6651,3551,17628,39,
E O Pôs No Jardim Do Éden Para O Lavrar E O Guardar,189,414,2079,1203,6198,3306,16185,39,
E O Povo Assentou-Se A Comer E Beber,120,318,1884,658,4996,2657,9251,29,
"E O Povo Assentou-Se A Comer E Beber E Depois,Levantaram-Se A Folgar",231,582,3255,1309,8896,4739,33231,57,
E O Povo Começou A Se Prostituir Com As Moabitas,169,484,2977,999,7830,4157,18915,39,
E O Que A Si Mesmo Se Exaltar Será Humilhado,153,396,2493,923,6170,3283,13895,35,
E O Que O Traia,55,127,811,363,2037,1082,1408,11,
E O Sangue De Jesus Seu Filho Purifica Nos De Todo O Pecado,212,518,2804,1224,7704,4111,24393,47,
E O Senhor O Chamou,76,175,850,464,2579,1377,2640,15,
E O Testemunho É Este Que Deus Nos Deu A Vida Eterna,169,484,3427,887,7808,4146,19885,41,
E O Tolo Será Servo Do Entendido De Coração,162,378,1944,932,5630,3004,13265,35,
E Odiado De Todos,63,135,576,345,1857,996,1904,14,
E Olhos De Ambos Foram Abertos E Souberam Que Estam Nus,178,520,2914,970,8224,4372,23445,45,
É Orientação Para Os Piedosos,116,278,1214,738,4230,2254,6975,25,
E Os Céus Anunciaram Sua Justiça,90,306,2142,472,5062,2684,8289,27,
E Os Conduzirei Ao Meu Santo Monte,129,354,2667,749,5744,3049,9940,28,
E Os Homens Foram Queimados Por Grande Calor,183,417,1785,1147,6133,3275,15466,37,
E Os Idolos Do Egito Serão Movidos Perante Sua Face E O Coração Dos Egipcios Se Derreterá No Meio Deles,396,909,4212,2404,13357,7133,76440,84,
E Os Juizos Que Hoje Te Mando Fazer,132,348,3174,808,5758,3053,9772,28,
E Os Olhos Se Lhes Abriram,94,238,904,598,3514,1876,5019,21,
E Os Que Estavam A Mesa Começaram A Dizer Entre Si Quem É Este Que Até Perdoa Pecados,287,728,4859,1639,11512,6120,49572,68,
E Os Que Fizeram O Bem,87,195,1608,545,3101,1648,3332,17,
E Os Que Morreram Em Cristo Ressuscitarão Primeiro,223,556,2905,1531,8920,4738,23951,43,
E Os Que Para A Espada Para A Espada,104,248,1238,612,3852,2050,6972,28,
E Os Que Para Fome Para Fome,106,232,1096,650,3440,1836,5126,22,
E Os Que Para O Cativeiro Para O Cativeiro,172,388,2548,1164,6240,3314,13226,34,
E Os Que Reputamos Serem Menso Honrosos No Corpo,195,555,2832,1185,8889,4722,22240,40,
E Os Que Reputamos Serem Menso Honrosos No Corpo A Esses Honramos Muito Mais,288,846,4311,1744,13516,7181,53361,63,
E Os Que Semeiam Sofrimento Também Os Colhem,164,425,1964,928,6229,3327,15762,37,
E Ouro,29,74,515,187,1240,657,375,5,
E Outros Para A Vergonha E Desprezo Eterno,178,430,3148,1140,7080,3755,15085,35,
E Ouvi O Homem De Vestido De Linho,140,311,1940,836,4517,2414,8424,27,
E Ouvi O Homem De Vestido De Linho Que Estava Sobre As Aguas Do Rio,242,611,4022,1442,9569,5090,32436,53,
E Ouviram A Voz Do Senhor,104,266,2543,666,4572,2419,5340,20,
E Ouviu O Meu Clamor,74,209,1703,414,3429,1819,3360,16,
E Para Cada Povo Há Um Guia,91,199,1432,551,3071,1635,4200,21,
E Para Fazer Separação Entre A Luz E As Trevas,156,408,3783,966,7086,3747,15133,37,
E Para Sara Que Vos Deus A Luz,90,288,2844,526,5224,2756,6647,23,
E Pareceu Bem Aos Olhos Do Senhor Que Salomão Tivesse Pedido Tal Coisa,251,647,3374,1453,9805,5226,37584,58,
E Passando Por Ti Vi Te Manchada Do Teu Sangue,153,405,2574,865,6355,3380,15022,37,
E Pedindo Lhe Peixe Lhe Dara Uma Serpente,171,342,1944,1045,4834,2588,11662,34,
E Pela Consolação Que Dão As Escrituras Tenhamos Esperança,197,530,2717,1107,8172,4351,26550,50,
E Perante A Ele Se Inclinaram,108,225,855,650,3035,1630,5424,24,
E Perdoa Nos As Nossas Dividas,98,287,1484,574,4561,2424,7200,25,
E Perdoa Nos As Nossas Dividas Assim Como Nós Perdoamos Os Nossos Devedores,258,780,3840,1472,12362,6571,49203,63,
E Perfeitamente Instruido Para Toda Boa Obra,176,401,2156,1108,6121,3261,15276,38,
E Poe Uma Marca Sobre A Fronte,106,250,1285,624,3792,2021,6024,24,
E Poe Uma Marca Sobre A Fronte Dos Homens,146,362,1712,844,5434,2898,11979,33,
E Poe Uma Marca Sobre A Fronte Dos Homens Que Gemem E Clamam Sobre As Abominações,276,672,3003,1534,9742,5207,44418,66,
E Poe Uma Marca Sobre A Fronte Dos Homens Que Gemem E Clamam Sobre As Abominações Que Ali Se Cometem,340,835,3886,1880,12131,6483,67716,81,
E Por Erro ,56,110,470,414,1728,919,888,8,
E Por Erro Fizer Contra Algum De Todos Os Mandamentos,210,534,3306,1278,8442,4488,23540,44,
E Por Isso Tambem Gememos,94,247,1039,544,3649,1948,5208,21,
E Porei As Minhas Palavras Em Sua Boca,124,322,1753,748,4978,2650,10013,31,
E Porei Inimizade Entre Ti E A Mulher,170,332,2204,1162,4906,2619,9990,30,
E Porei Inimizade Entre Ti E A Mulher E Entre A Tua Descendecia E A Sua Descendencia,314,647,3896,1890,9297,4972,44064,68,
E Porque Sois Filhos De Deus,115,286,1510,727,4408,2347,6601,23,
E Pos O Senhor Um Sinal Em Caim,111,282,1236,669,4134,2208,6792,24,
E Pregava Nas Sinagogas Da Galileia,127,262,1162,791,3590,1926,7890,30,
E Qualquer,45,117,891,287,1979,1048,1062,9,
E Qualquer Que,61,160,1276,385,2734,1447,1932,12,
E Qualquer Que Atentar,86,239,1823,526,4081,2160,4560,19,
E Qualquer Que Atentar Numa,99,288,2214,577,4888,2588,6647,23,
E Qualquer Que Atentar Numa Mulher,131,365,2687,781,6055,3210,10614,29,
E Qualquer Que Atentar Numa Mulher Para Cobiçar,182,452,3017,1134,7290,3871,18120,40,
E Quando Allah Firmou Aliança Com Os Profetas,165,399,1965,977,5873,3136,15200,38,
E Quando Ele Vier João 16:8,86,194,1175,512,2852,1523,4290,22,
E Quando Eu Passei Por Ti E Te Vi Revolvida Em Teu Sangue,208,550,4150,1240,8962,4756,24795,45,
E Quando Inspirei Aos Discipulos Crede Em Mim E Em Meu Mensageiro,270,594,2691,1696,8482,4538,32130,54,
E Quando O Infortúnio,98,233,1394,626,3623,1928,4212,18,
E Quando O Infortúnio Toca O Ser Humano,158,401,2372,970,6289,3345,12864,32,
E Quando O Infortúnio Toca O Ser Humano Ele Nos Invoca,211,535,3145,1259,8261,4398,23584,44,
E Quão Poucos Podem Ver A Luz,108,306,2844,622,5284,2795,7061,23,
E Que Alguns Pregam A Cristo Até Por Inveja E Contenda,196,484,2833,1162,7408,3946,21340,44,
E Que Ames E Sirva O Senhor Teu Deus Com Todo O Teu Coração E Com Toda A Tua Alma,247,697,4585,1313,11123,5910,43276,62,
E Que Desde A Tua Meninice Sabe As Sagradas Letras,149,392,2120,813,5970,3181,16113,41,
E Que Foi Sepultado E Que Ressucitou Ao Terceiro Dia,206,512,3329,1282,8176,4344,22059,43,
E Que Havendo Feito Por Ele A Paz Pelo Sangue Da Sua Cruz,210,516,4557,1248,8484,4500,23265,45,
E Que Havia Saido De Deus,87,195,1401,513,2979,1587,3920,20,
E Que Havia Saido De Deus E Ia Para Deus ,133,295,1987,803,4511,2403,9176,31,
E Que Sinal Haverá Quando Todas Elas Estiverem Para Se Cumprir,231,600,3804,1431,9630,5115,31252,52,
E Que Tem Graça Nos Seus Lábios Proverbios 11:22,155,425,2540,949,6853,3639,17040,40,
E Que Via Sua Aflição,69,168,1311,405,2646,1407,2873,17,
E Quem É Santo,45,135,846,231,2157,1146,1496,11,
E Quem Sabe Se Ele Sera Sabio Ou Insensato,132,375,1986,730,5815,3095,12784,34,
E Recebeu O Sinal Da Circuncisão,119,254,1298,715,3640,1947,6885,27,
E Repousou No Sétimo Dia,97,259,1528,593,4103,2181,5200,20,
É Ressuscitado Em Glória,94,238,1219,588,3648,1943,5019,21,
É Ressuscitado Em Poder,90,234,1251,538,3670,1952,4700,20,
E Revestimos Os Osso De Carne,104,302,1652,604,4834,2568,7272,24,
E Saindo Eles Pregavam Que Se Arrependessem,166,400,2038,978,6018,3209,14837,37,
E Salomão Amava O Eterno,76,211,1210,392,3227,1719,4240,20,
E Salomão Despertou Eis Que Era Um Sonho,148,409,2344,870,6477,3443,13530,33,
É Santificado Pela Mulher,100,217,1027,604,3025,1621,4796,22,
E São Elas Que De Mim Testifica,103,256,1318,593,3752,2004,6425,25,
E São Muitissimos Que Por Ela Foram Mortos,163,469,2521,1033,7531,4000,16450,35,
E Satã Susssurrou Lhes Perfidias,115,367,2284,731,6203,3285,10304,28,
E Se A Mulher Deixar Seu Marido,120,273,1902,762,4245,2259,6850,25,
E Se A Nossa Injustiça For Causa Da Justiça De Deus Que Diremos,191,560,3404,1071,8874,4717,28611,51,
E Se Agora Vos Diligentemente Ouvirdes A Minha Vós,196,484,3085,1188,7452,3968,20370,42,
E Se Agora Vos Diligentemente Ouvirdes A Minha Vós E Guardares O Meu Concerto,298,730,4564,1788,11292,6011,46784,64,
E Se Com Teu Coração Creres Que Deus Ressucitou Entre Os Mortos,227,668,4250,1321,11068,5868,34788,52,
E Se Cristo Não Ressucitou Vã É A Nossa Fé,131,401,2579,749,6617,3509,13266,33,
E Se Pedirmos Alguma Coisa Segundo A Sua Vontade Ele Nos Ouve,202,571,3703,1072,8965,4768,28600,50,
E Se Teu Irmão Pecar Contra Ti Repreende O,172,379,1981,1098,5769,3074,12920,34,
É Segundo A Verdade,69,150,1041,367,2230,1190,2416,16,
E Selados No Livro Da Vida,91,226,1423,529,3436,1831,4767,21,
E Sendo Jesus,37,136,739,165,2136,1136,1507,11,
E Separar A Luz Das Trevas,81,252,2394,493,4552,2402,5313,21,
E Será Cheio Do Espírito Santo Já Desde O Ventre De Sua Mãe,206,503,2699,1216,7579,4041,23688,47,
E Será Por Sinal Sobre Tua Mão E Por Frontais Entre Os Teus Olhos Porque O Senhor Nos Tirou Do Egito Com Mão Forte,446,1184,6341,2816,18818,10001,107835,91,
E Será Que Quando Te Disserem Para Onde Iremos Dir Lhe As Assim Diz O Senhor,298,703,3907,1938,10857,5780,42944,61,
E Será Que Se Diligentemente Obedecerdes A Meus Mandamentos,214,520,2590,1148,7520,4020,26571,51,
E Será Que Se Diligentemente Obedecerdes A Meus Mandamentos Que Hoje Te Ordeno,292,697,3532,1620,10125,5411,46068,66,
E Serão Todos Ensinados Por Deus,118,334,1693,690,5298,2816,9045,27,
E Sereis Aborrecidos Por Todos Por Amor Do Meu Nome,215,512,2357,1373,7844,4178,21546,42,
E Sereis Como Deuses,73,199,991,413,3059,1629,3400,17,
E Serviram Mais A Criatura Do Que O Criador,173,389,2351,1185,6189,3289,13650,35,
E Sobre Toda A Erva Do Campo,92,218,1262,516,3342,1780,4818,22,
E Sonhou Ainda Outros Sonhos,108,324,1836,650,5240,2782,7800,24,
E Sua Palavra Estava Em Minha Língua,114,312,2256,644,4928,2620,9390,30,
E Surgirão Muitos Falsos Profetas E Enganarão Há Muitos,209,569,3188,1309,9049,4809,26790,47,
E Também Não É Admissivel Que Ele Vos Ordene Tomar Os Anjos E Profetas Por Senhores,302,806,4253,1764,12420,6613,54876,68,
E Também O Pai A Ninguem Julga Mas Deus Ao Filho Todo Juizo,203,518,3470,1173,7788,4153,24393,47,
E Tambem Os Que Sairam Vitoriosos Da Besta,140,410,2480,832,6646,3528,14385,35,
E Te Converteres Ao Senhor Teu Deus,130,364,2506,740,5978,3171,10585,29,
E Te Encerrem Na Prisão,96,204,879,616,2992,1598,3895,19,
E Te Tratarao Com Odio,81,198,1089,493,3076,1637,3582,18,
E Te Ungi Com Óleo,69,159,834,385,2239,1199,2240,14,
E Tendo Judas Tomado O Bocado Saiu Logo E Era Já Noite,173,443,2297,933,6477,3460,19092,43,
E Tendo Partido Dali Caminharam Para Galileia,183,345,1299,1189,4555,2450,13494,39,
E Tendo Um Grande Sacerdote Sobre A A Casa De Deus,154,379,2071,804,5691,3035,15200,40,
E Tenho As Chaves Da Morte E Do Inferno,146,326,1685,862,4750,2538,10137,31,
E Tera Glória Só Em Si Mesmo,103,256,1057,647,3770,2013,5654,22,
É Testemunha Contra Seus Pecados,104,329,2066,528,5343,2836,9240,28,
E Teu Pai Que Ve Secretamente Te Recompensara,167,428,2804,953,6794,3611,16302,38,
E Teu Povo Desmentiu O Enquanto Ele É A Verdade,168,438,3174,892,6904,3671,16682,38,
E Teve Compaixão Deles,82,199,1603,436,3073,1636,3800,19,
E Tinha Um Nome Escrito,92,227,1235,564,3417,1822,4332,19,
E Tinha Um Nome Escrito Que Ninguém Sabia Senão Ele Mesmo,211,526,2695,1221,7728,4127,24769,47,
E Tira Lhes Do Coração A Palavra,109,244,1324,675,3672,1958,6370,26,
E Tiraremos O Que Houver De Ódio Em Seus Peitos,191,488,3044,1199,7796,4142,18582,38,
E Toda A Lingua Confesse Que Jesus Cristo É O Senhor Para Gloria De Deus Pai,273,678,3594,1667,10334,5506,41419,61,
E Toda Língua Confesse,78,195,996,414,2817,1506,3724,19,
E Toda Língua Dará Gloria A Deus,110,245,1370,664,3589,1917,6396,26,
E Todo Aquele Que Neles Errar Nunca Será Sabio,168,420,2373,1002,6546,3483,15998,38,
E Todo Aquele Que Se Humilhar Será Exaltado,159,402,2823,935,6344,3373,14508,36,
E Todo Este Povo O Saberá,84,237,1488,458,3833,2035,4760,20,
E Todo Povo Respondeu A Uma Só Voz,125,377,3365,701,6533,3455,10206,27,
E Todo Povo Respondeu Respondeu A Uma Voz,163,460,3889,931,7816,4138,15674,34,
E Todos Foram Batizados Em Moises,119,326,2162,697,5188,2757,9156,28,
E Todos Foram Batizados Em Moises Na Nuvem E No Mar,176,482,3254,998,7640,4061,19803,41,
E Todos Foram Cheios Do Espirito Santo,155,389,1829,981,5949,3169,12480,32,
E Todos Foram Cheios Do Espirito Santo ,155,389,1829,981,5949,3169,12480,32,
E Todos Os Idolos Totalmente Desapareceram,150,420,2058,814,6412,3416,15577,37,
E Tomei O Livrinho Da Mão Do Anjo,129,282,1326,801,3924,2103,7358,26,
E Tomei O Livrinho Da Mão Do Anjo E Na Minha Boca Era Doce Como O Mel,249,510,2022,1465,6712,3611,27083,53,
E Tomei Os Levitas Em Lugar De Todo O Primogenito Entre Os Filhos De Israel,300,723,3657,1866,10767,5745,44164,61,
E Tomou O Bezerro,76,193,1777,478,3313,1753,2716,14,
E Tomou O Bezerro Que Fizeram E Queimou O No Fogo,219,507,4215,1399,8257,4382,19812,39,
"E Tomou O Senhor Deus O Homem, E O Pôs No Jardim Do Éden Para O Lavrar E O Guardar",301,715,3739,1841,10823,5769,45108,63,
E Transfigurou Se Diante Deles,116,296,1736,692,4580,2438,7722,26,
E Tres São Os Que Testificam Na Terra,127,361,2116,785,5897,3129,10860,30,
E Trouxe A Cabeça Num Prato E Deu A Menina,136,334,2557,736,5254,2794,11055,33,
E Tu Menino Será Chamado Profeta Do Altissimo,169,421,2077,1011,6285,3353,16036,38,
E Um De Vós É Um Diabo,66,174,1335,332,2708,1441,2800,16,
É Um Fogo Como Mundo De Iniquidade,144,297,1575,846,4113,2205,8344,28,
É Um Grande Fato O Nascimento De Um Homem E Sua Vida É Uma Luta Incessante,235,640,4069,1227,9786,5213,37819,59,
E Um Homem Perverso,85,211,1318,521,3311,1761,3392,16,
E Unir Se A A Sua Mulher,76,211,1435,464,3425,1818,3816,18,
E Unir-Se A Sua Mulher,75,210,1434,463,3424,1817,3798,18,
E Veio O Senhor Daqueles Servos,125,332,2132,761,5342,2837,8658,26,
E Vendo A Mulher,62,143,998,348,2139,1141,1872,13,
E Venham Ao Conhecimento Da Verdade,137,272,1577,761,3722,1997,8190,30,
E Verão O Seu Seu Rosto,78,258,1941,448,4498,2378,4662,18,
É Verdadeiramente Bebida,100,172,937,594,2268,1220,3806,22,
É Verdadeiramente Comida E O Meu Sangue É Verdadeiramente Bebida,249,492,2841,1437,6864,3678,27115,55,
E Viu A Pedra Tirada Do Sepulcro,121,283,1912,759,4503,2393,7384,26,
E Viu Deus Que A Luz Era Boa,89,251,2798,511,4471,2361,5292,21,
E Viu Jesus Em Pe,53,170,1349,283,2794,1482,2223,13,
E Vivos Descerem Ao Sepulcro,109,289,1945,629,4625,2457,6960,24,
E Voem As Aves,37,127,1117,163,2161,1144,1408,11,
Eco,14,23,68,70,259,141,72,3,
Edeusviu Queerabom,77,203,1706,443,3377,1790,3468,17,
Edifica A Igreja,70,88,160,488,830,459,1246,14,
Edificada Sobre Um Monte,94,202,994,544,2830,1516,4263,21,
Edificados Sobre O Fundamento Dos Apostolos E Dos Profetas,215,575,2780,1215,8775,4675,28800,50,
Edificio Moral,74,119,326,508,1417,768,1560,13,
Edson,21,57,219,103,823,440,290,5,
Eficiencia,55,64,100,373,544,304,650,10,
Egito,29,56,281,195,780,418,285,5,
Egoista,31,76,382,197,1142,609,539,7,
Egua,16,34,313,84,516,275,140,4,
Ei Lo Então Adversário Declarado,127,271,1378,775,3925,2098,7616,28,
Eis Aqui A Serva Do Senhor,101,245,1478,671,3911,2078,5166,21,
Eis Aqui O Cordeiro De Deus,115,241,1303,755,3617,1929,5324,22,
Eis Aqui Opressão,72,189,990,492,3057,1623,2850,15,
Eis Aqui Vos Digo Um Misterio,125,314,1997,847,4996,2655,7560,24,
Eis Aqui Vos Digo Um Misterio Na Verdade Nem Todos Dormiremos,253,622,3574,1601,9620,5121,31773,51,
Eis Meu Servo Que Eu Amparo Meu Eleito Ao Qual Dou Toda A Minha Afeição Faço Repousar Sobre Ele Meu Espirito,406,991,5986,2456,15317,8154,87296,88,
Eis O Pacto Que Faço Entre Mim E Vos,131,329,1967,773,5093,2711,9240,28,
Eis Que A Gloria Do Senhor Apareceu Na Nuvem,172,397,2395,1064,6077,3237,14328,36,
Eis Que Conceberá E Darás A Luz A Um Filho,146,335,2504,880,5191,2763,11088,33,
Eis Que Conceberá E Darás A Luz A Um Filho E Lhe Porás O Nome De Jesus,237,579,3612,1387,8785,4682,31320,54,
Eis Que Diante Da Tua Face,83,191,1289,459,2871,1531,4032,21,
Eis Que Diante Da Tua Face Te Envio Meu Anjo,144,360,2484,784,5464,2912,12635,35,
Eis Que Envio O Meu Anjo,91,235,1549,537,3615,1925,4484,19,
Eis Que Eu Mesmo Porcurarei Pelas Minhas Ovelhas E As Buscareis,234,612,3501,1450,9604,5108,32489,53,
Eis Que Farei Conforme As Tuas Palavras E Te Darei Um Coração Tão Sábio E Entendido,295,709,4021,1767,10839,5774,48280,68,
Eis Que Farei Conforme As Tuas Palavras E Te Darei Um Coração Tão Sábio E Entendido Que Antes De Ti Não Houve Um Igual,413,1034,6551,2433,16086,8560,98325,95,
Eis Que Hoje Eu Proponho Diante De Vós A Benção,182,416,2315,1088,6164,3290,15846,38,
Eis Que Hoje Eu Proponho Diante De Vós A Maldição,191,434,2342,1157,6350,3392,17400,40,
Eis Que Levantarei Um Vento Destruidor,156,426,3207,954,7056,3741,14091,33,
Eis Que Levantarei Um Vento Destruidor Contra Babilonia,220,562,3775,1352,8948,4755,27024,48,
Eis Que Lhe Darei De Comer Alosna A Este Povo E Lhe Darei A Beber Agua De Fel,273,543,2622,1619,7451,3997,32640,60,
Eis Que O Dia Do Senhor Vem Horrendo Com Furor E Ira Ardente,261,549,2871,1713,8229,4389,26400,48,
Eis Que O Filho Que Nascer Sera Homem De Repouso,198,459,2349,1250,6929,3694,17940,39,
Eis Que O Filho Que Te Nascer Sera Homem De Repouso,205,484,2554,1279,7354,3919,19885,41,
Eis Que O Justo É Castigado Na Terra,121,337,2056,733,5413,2875,9802,29,
Eis Que O Menino Chorava,103,229,1336,657,3447,1838,4600,20,
Eis Que O Meu Molho Se Levantava,108,315,2295,576,5031,2673,8216,26,
Eis Que O Senhor Me Tem Impedido,139,301,1363,879,4299,2300,7852,26,
Eis Que Os Teus Inimigos Perecerão,149,356,1877,983,5492,2924,10353,29,
Eis Que Uma Mulher Lhe Saiu Ao Encontro Com Enfeites De Prostituta E Astuto Coração,300,822,5151,1750,13072,6947,56787,69,
Eis Que Vos Envio Como Ovelhas 10:16,118,325,2350,690,5235,2780,9780,30,
"Eis Que Vos Envio Como Ovelhas Ao Meio De Lobos; Portanto, Sede Prudentes Como As Serpentes E Simples Como As Pombas",408,1146,6240,2298,17850,9498,110112,96,
Ejacular,26,71,440,136,1045,558,576,8,
Ela Não Pondera A Vereda Da Vida As Suas Carreiras São Variáveis E Não As Conhece,270,639,3870,1624,9877,5258,42240,66,
Ela Prenderá A Alma Dos Que A Possuem,119,317,1649,655,4849,2583,9540,30,
Ele A Viu E Numerou A,71,188,1601,393,3048,1618,3024,16,
Ele Chama As Ovelhas Pelo Seu Nome E As Conduz A Pastagem,175,481,3271,893,7409,3945,22172,46,
Ele Criou O Ser Humano De Gota Seminal Ei Lo Então Adversário Declarado,271,613,3106,1633,8923,4768,36226,59,
Ele Criou Os Céus E A Terra Com A Verdade,140,329,2075,816,5091,2710,10560,32,
Ele Descerá Como A Chuva,80,179,1124,414,2583,1381,3600,20,
Ele É A Imagem De Deus Invisivel,120,255,1578,700,3535,1895,6656,26,
Ele É A Imagem De Deus Invisivel O Primogenito De Toda A Criação,250,511,2680,1536,7125,3818,26624,52,
Ele É Como A Luz Da Manhã,76,175,1444,388,2557,1366,3344,19,
Ele É O Criador Primordial Do Céu E Da Terra,183,345,1533,1205,4877,2611,12110,35,
Ele E O Rochedo Perfeita E A Sua Obra,138,273,1281,848,3863,2068,7946,29,
Ele Estava No Principio Com Deus,128,308,1739,772,4642,2475,8343,27,
Ele Me Arrebatou Em Espirito,117,270,1422,741,4080,2175,6504,24,
Ele Me Fez Circular Em Todos Os Sentidos,149,392,2579,865,6130,3261,12969,33,
Ele Os Entregou Ao Poder Da Sua Transgressão,158,437,2417,928,6985,3711,16206,37,
Ele Porém Não Quis Antes Foi Encerrado Na Prisão Até Que Pagasse A Divida,277,637,3328,1733,9617,5127,38280,60,
Ele Porém Querendo Justificar-Se A Si Mesmo,170,422,2087,1054,6346,3384,15651,37,
Ele Porém Querendo Justificar-Se A Si Mesmo Disse A Jesus E Quem É O Meu Próximo,297,783,4590,1801,12169,6476,50960,65,
Ele Preparará O Caminho Diante De Ti,150,285,1176,974,3917,2101,8580,30,
Ele Privilegia Com Sua Misericordia A Quem Quer,209,443,2495,1407,6627,3535,17760,40,
